,xUTM,yUTM,Prob
441,474000,860500,0.0015275501800972144
442,474500,860500,0.001302430077023186
443,475000,860500,0.0009118441935255808
444,475500,860500,0.0004951643974111274
445,476000,860500,0.0003225093560799817
446,476500,860500,0.00043784719100786496
447,477000,860500,0.0007094147174970778
448,477500,860500,0.0009140928964663802
449,478000,860500,0.0008722707324751074
450,478500,860500,0.0006494486332217587
451,479000,860500,0.0005360416434598789
452,479500,860500,0.0007863952479859466
453,480000,860500,0.0013076982434493242
454,480500,860500,0.0016527851264381617
455,481000,860500,0.0015010778245998571
456,481500,860500,0.0009793365404953713
457,482000,860500,0.0004479508062629663
458,482500,860500,0.0001378340373425836
459,483000,860500,2.7502803021582964e-05
460,483500,860500,3.4741865033015454e-06
461,484000,860500,2.7407771862523034e-07
462,468000,861000,4.583329503813533e-07
463,468500,861000,6.753794469475664e-06
464,469000,861000,6.188580264204028e-05
465,469500,861000,0.0003544087764208239
466,470000,861000,0.0012791760528283772
467,470500,861000,0.0029573726652231142
468,471000,861000,0.004535414502295476
469,471500,861000,0.00495662419148649
470,472000,861000,0.004287587941580128
471,472500,861000,0.003138788574819797
472,473000,861000,0.0019751660135248813
473,473500,861000,0.0013188871101582251
474,474000,861000,0.0012876722155581307
475,474500,861000,0.0013145253756763093
476,475000,861000,0.0009619202567316651
477,475500,861000,0.0004898062697266402
478,476000,861000,0.00033051377951210596
479,476500,861000,0.0006200554471725891
480,477000,861000,0.00119287206578616
481,477500,861000,0.001616610880700512
482,478000,861000,0.0015365056039416895
483,478500,861000,0.0010634304467154122
484,479000,861000,0.00059872285845658
485,479500,861000,0.0004326134649413513
486,480000,861000,0.0005479605717229923
487,480500,861000,0.0006918707188789685
488,481000,861000,0.0006512631857526999
489,481500,861000,0.0004367499704640035
490,482000,861000,0.0002030339205506897
491,482500,861000,6.306122548544336e-05
492,483000,861000,1.2662537958304834e-05
493,483500,861000,1.6075603240138834e-06
494,484000,861000,1.2735970767826647e-07
495,468000,861500,2.5592023446579203e-07
496,468500,861500,3.842058148450739e-06
497,469000,861500,3.607443336306982e-05
498,469500,861500,0.00021299011258457107
499,470000,861500,0.0007970965862270016
500,470500,861500,0.001918970272033567
501,471000,861500,0.0030702620960461305
